DETECÇÃO DE FUNGOS - RESULTADO COMPLETO
============================================================

Total de fungos: 277
Área da folha: 2,325,740 pixels
Área de fungos: 144,991 pixels
Porcentagem infectada: 6.23%

Área média dos fungos: 523.4 px
Área mínima: 15 px
Área máxima: 4726 px

============================================================
LISTA COMPLETA (ordenada por tamanho):
============================================================

Fungo #104: posição (2078.3, 1100.0) -   404 px²
Fungo #105: posição (1275.1, 2005.9) -   403 px²
Fungo #106: posição (2461.3, 1511.9) -   396 px²
Fungo #107: posição (1114.9, 1720.5) -   390 px²
Fungo #108: posição (1390.4, 2310.7) -   390 px²
Fungo #109: posição (1131.3, 2380.4) -   389 px²
Fungo #110: posição (2152.4, 1089.8) -   387 px²
Fungo #111: posição (2335.4, 2195.4) -   383 px²
Fungo #112: posição (2155.1, 2314.2) -   380 px²
Fungo #113: posição (3188.1, 1277.9) -   371 px²
Fungo #114: posição (1316.2, 1964.6) -   364 px²
Fungo #115: posição (2367.4, 2088.3) -   361 px²
Fungo #116: posição (1323.1, 1824.0) -   355 px²
Fungo #117: posição (2856.3, 1362.3) -   350 px²
Fungo #118: posição (2404.2, 1769.8) -   344 px²
Fungo #119: posição (1972.6, 1913.9) -   338 px²
Fungo #120: posição (1912.9, 2239.4) -   328 px²
Fungo #121: posição (2307.1, 1982.3) -   322 px²
Fungo #122: posição (1708.8, 1969.1) -   317 px²
Fungo #123: posição (1329.6, 2410.5) -   317 px²
Fungo #124: posição (2264.1, 1693.5) -   312 px²
Fungo #125: posição (2118.0, 1467.8) -   308 px²
Fungo #126: posição (2719.0, 1903.6) -   301 px²
Fungo #127: posição (2426.9, 1905.4) -   296 px²
Fungo #128: posição (2262.0, 1306.4) -   291 px²
Fungo #129: posição (1526.2, 1653.6) -   291 px²
Fungo #130: posição (2554.0, 1166.7) -   289 px²
Fungo #131: posição (2347.9, 2246.2) -   287 px²
Fungo #132: posição (2911.5, 1543.5) -   272 px²
Fungo #133: posição (2139.2, 2279.1) -   259 px²
Fungo #134: posição (1323.5, 1511.8) -   247 px²
Fungo #135: posição (1813.3, 2111.7) -   247 px²
Fungo #136: posição (2641.2, 1989.3) -   242 px²
Fungo #137: posição (2068.4, 2374.3) -   242 px²
Fungo #138: posição (2170.3, 2342.4) -   241 px²
Fungo #139: posição (1827.6, 2388.1) -   238 px²
Fungo #140: posição (1164.2, 1934.6) -   236 px²
Fungo #141: posição (1960.9, 1475.8) -   232 px²
Fungo #142: posição (2257.8, 2288.9) -   222 px²
Fungo #143: posição (2048.9, 1133.7) -   221 px²
Fungo #144: posição (2008.4, 1781.4) -   209 px²
Fungo #145: posição (2740.0, 1421.5) -   208 px²
Fungo #146: posição (1989.4, 1334.2) -   206 px²
Fungo #147: posição (1168.5, 1611.8) -   205 px²
Fungo #148: posição (2831.4, 1287.5) -   204 px²
Fungo #149: posição (2436.0, 1684.5) -   204 px²
Fungo #150: posição (1997.5, 1827.2) -   204 px²
Fungo #151: posição (1273.4, 1872.5) -   204 px²
Fungo #152: posição (1126.3, 1935.6) -   204 px²
Fungo #153: posição (2119.2, 1663.7) -   201 px²
Fungo #154: posição (1331.6, 1796.0) -   199 px²
Fungo #155: posição (2190.8, 1081.8) -   198 px²
Fungo #156: posição (1409.9, 1799.6) -   188 px²
Fungo #157: posição (1300.2, 1896.6) -   183 px²
Fungo #158: posição (2520.8, 1094.8) -   181 px²
Fungo #159: posição (1987.4, 1125.4) -   178 px²
Fungo #160: posição (1375.4, 1816.5) -   176 px²
Fungo #161: posição (1466.5, 1584.6) -   173 px²
Fungo #162: posição (1572.3, 2390.6) -   169 px²
Fungo #163: posição (1837.5, 1657.9) -   166 px²
Fungo #164: posição (2597.1, 1122.7) -   165 px²
Fungo #165: posição ( 985.5, 2296.7) -   163 px²
Fungo #166: posição (2709.7, 1245.2) -   158 px²
Fungo #167: posição (1439.5, 2402.8) -   155 px²
Fungo #168: posição (3498.9, 1229.1) -   151 px²
Fungo #169: posição (1955.2, 1134.1) -   150 px²
Fungo #170: posição ( 968.9, 2055.0) -   144 px²
Fungo #171: posição ( 915.0, 2334.9) -   141 px²
Fungo #172: posição (1454.4, 2403.5) -   140 px²
Fungo #173: posição (2889.9, 1319.1) -   136 px²
Fungo #174: posição (2243.8, 1705.2) -   131 px²
Fungo #175: posição (2228.5, 1129.5) -   129 px²
Fungo #176: posição (2603.0, 1405.5) -   125 px²
Fungo #177: posição (1449.9, 2337.7) -   116 px²
Fungo #178: posição (1448.6, 2367.9) -   113 px²
Fungo #179: posição (2746.6, 1206.0) -   108 px²
Fungo #180: posição (1485.0, 2386.6) -   108 px²
Fungo #181: posição (1153.6, 1653.5) -   106 px²
Fungo #182: posição ( 921.6, 2187.5) -   105 px²
Fungo #183: posição (2016.1, 1120.8) -   103 px²
Fungo #184: posição (2740.6, 1749.2) -   103 px²
Fungo #185: posição (1082.3, 1765.1) -   102 px²
Fungo #186: posição (2046.8, 1113.3) -   101 px²
Fungo #187: posição (2099.3, 1724.6) -    97 px²
Fungo #188: posição (2084.6, 1646.9) -    96 px²
Fungo #189: posição (2860.2, 1271.2) -    94 px²
Fungo #190: posição (2414.0, 1518.6) -    92 px²
Fungo #191: posição (2180.8, 2295.5) -    92 px²
Fungo #192: posição (2558.6, 1108.0) -    86 px²
Fungo #193: posição (2981.6, 1307.5) -    81 px²
Fungo #194: posição (2748.5, 1329.6) -    79 px²
Fungo #195: posição (1933.6, 2106.5) -    79 px²
Fungo #196: posição (1850.4, 1900.4) -    78 px²
